
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6C:5F:1C:25:87:31, 2014-04-16 09:39:20, 2014-04-16 09:39:20, -87,        3, (not associated) ,
00:1F:3B:26:71:C9, 2014-04-16 09:39:17, 2014-04-16 09:39:17, -86,        1, (not associated) ,
60:A1:0A:8C:F5:70, 2014-04-16 09:39:24, 2014-04-16 09:39:24, -83,        2, 00:25:9C:4B:38:B2,
F8:D1:11:18:83:E7, 2014-04-16 09:39:20, 2014-04-16 09:39:20, -81,        4, (not associated) , 3e602e
E0:06:E6:2A:1C:55, 2014-04-16 09:39:18, 2014-04-16 09:39:28, -75,        3, CC:B2:55:F3:DF:24,
08:ED:B9:F3:A0:A3, 2014-04-16 09:39:15, 2014-04-16 09:39:30,  -1,      155, 74:EA:3A:BF:C0:F8,
F4:B7:E2:F1:6B:33, 2014-04-16 09:39:25, 2014-04-16 09:39:25,  -1,        3, B0:48:7A:BF:EB:F8,
00:07:D2:51:C7:E8, 2014-04-16 09:39:15, 2014-04-16 09:39:25,   0,       69, 00:1D:7E:FB:38:80, linksys
1C:65:9D:0C:FE:02, 2014-04-16 09:39:25, 2014-04-16 09:39:29,   0,       34, 00:1D:7E:FB:38:80, linksys

